,WT1
552,233.6788232
553,242.3985337
554,236.2947363
555,224.0078715
556,202.6674142
557,191.6570712
558,204.3293528
559,210.6654935
560,228.3280917
561,250
562,250
563,247.965648
564,232.3312315
565,217.4284535
566,184.6977035
567,150.8357053
568,133.7862612
569,142.7337548
570,150.004736
571,100.3807494
572,156.7563614
573,225.7914486
574,238.514299
575,219.489476
576,113.0318467
577,56.51371451
578,32.15520271
579,20.86604768
580,17.65150861
581,26.79763761
582,46.92367298
583,69.26471946
584,125.4348832
585,237.7612331
586,250
587,250
588,233.3617428
589,188.9564211
590,134.1170088
591,98.47895047
592,73.44362024
593,58.71031621
594,40.97677572
595,9.693407016
596,15.43194593
597,32.27000768
598,62.40703613
599,91.45056309
600,110.1378048
601,118.323809
602,115.9258886
603,113.0318467
604,121.1351639
605,132.8767052
606,146.6808589
607,151.1473188
608,189.9951327
609,197.993212
610,220.282177
611,175.6609126
612,107.7398844
613,57.47807623
614,29.47642016
615,13.44199318
616,7.639354824
617,5.106538587
618,2.944378385
619,0
620,0.380674146
621,6.759046742
622,14.1690913
623,20.86604768
624,14.70484781
625,6.141286684
626,0
627,0
628,0
629,0
630,0
631,0
632,2.527390346
633,1.245538227
634,4.504222531
635,10.86715113
636,24.1953917
637,29.39988352
638,24.31019667
639,12.06433358
640,6.264838695
641,3.268702416
642,2.218510318
643,0
644,5.322754607
645,12.02606526
646,19.45011976
647,23.88924513
648,28.3283705
649,27.90741895
650,20.82777935
651,18.37860674
652,22.20543895
653,26.91244258
654,29.20854191
655,33.99208218
656,63.7464274
657,126.8405607
658,204.2254816
659,211.600334
660,186.2557709
661,143.5647241
662,111.791543
663,86.32397464
664,69.69332467
665,62.67491438
666,58.3888623
667,27.83088231
668,51.15614941
669,105.6727117
670,175.5570414
671,209.7306531
672,184.1783477
673,114.5202111
674,55.44220149
675,26.30014942
676,15.77636083
677,12.17913855
678,12.56182177
679,21.36353586
680,54.47783978
681,240.8924019
682,250
683,250
684,250
685,249.2777048
686,245.6449476
687,242.3588987
688,239.8222556
689,242.8345193
690,244.4066941
691,205.9912913
692,226.4652445
693,247.6704353
694,250
695,250
696,248.1542562
697,240.2582411
698,218.4589648
699,183.9706054
700,170.0518699
701,169.2209006
702,168.182189
703,147.9273128
704,164.1312138
705,244.2262863
706,250
707,250
708,250
709,250
710,247.4244246
711,244.636304
712,241.5265627
713,244.0212774
714,244.7183076
715,224.2456818
716,227.2975805
717,244.2508873
718,245.1365257
719,243.8650305
720,237.642328
721,226.7426898
722,215.9223217
723,204.3293528
724,201.6287026
725,195.6041753
726,180.6467282
727,153.6402266
728,183.8667342
729,250
730,250
731,250
732,246.0385647
733,219.8858265
734,175.5570414
735,156.0292633
736,159.6647539
737,167.7667044
738,170.4673545
739,102.8613567
740,137.1764245
741,222.2639294
742,245.8417562
743,248.3182633
744,247.5638307
745,235.0264148
746,194.2538502
747,154.8866805
748,150.4202206
749,151.5628034
750,151.4589322
751,135.853434
752,167.3512197
753,248.4002668
754,250
755,242.8741543
756,169.3247718
757,96.24640389
758,64.01430566
759,47.6737321
760,40.1195653
761,38.92869573
762,38.12506097
763,12.82970002
764,20.33029117
765,30.81581144
766,38.89042741
767,37.39796285
768,28.36663882
769,22.77946378
770,25.26690472
771,28.13702889
772,27.02724754
773,22.47331721
774,14.20735962
775,7.793794838
776,8.797654932
777,66.85381516
778,127.7501167
779,131.3056539
780,123.0369628
781,109.1455619
782,84.25680188
783,63.90715436
784,51.10257376
785,47.8880347
786,45.53070606
787,14.93445774
788,18.91436325
789,32.53788593
790,48.90597207
791,55.01359629
792,40.86962442
793,20.25375452
794,6.033178674
795,5.46175062
796,23.77444016
797,40.70889746
798,43.22695306
799,32.88230083
800,49.92390944
801,40.33386791
802,31.92559278
803,64.76436477
804,101.2903054
805,111.8742299
806,111.7088561
807,109.3109357
808,113.8587158
809,131.3056539
810,166.0008947
811,127.0059345
812,161.3266925
813,203.2906412
814,199.3435371
815,164.4428273
816,124.1945796
817,87.81233903
818,63.6392761
819,42.10186439
820,25.38170969
821,18.26380177
822,16.12077573
823,16.54172727
824,30.54793318
825,48.69166947
826,136.5149292
827,177.5305934
828,202.2519295
829,192.3841693
830,166.8318639
831,140.0331046
832,123.6157712
833,117.6623137
834,92.44280601
835,39.9052627
836,29.43815184
837,17.72804526
838,5.894182661
839,0
840,0
841,0
842,7.268698789
843,29.74429842
844,48.04876165
845,52.49554069
846,47.24512689
847,38.39293922
848,36.82393801
849,27.6395407
850,9.662519013
851,14.01601801
852,28.6727854
853,59.67467793
854,111.791543
855,114.3548373
856,81.11469929
857,68.13963079
858,67.12169342
859,63.58570045
860,65.99660475
861,39.7981114
862,12.90623667
863,1.168318219
864,0
865,0
866,0
867,3.500362437
868,9.925067037
869,20.5599011
870,26.10880781
871,24.38673331
872,33.83900889
873,23.43002526
874,0
875,10.23394707
876,52.76341894
877,90.12757252
878,108.4013797
879,95.99834316
880,74.78301151
881,66.63951256
882,67.06811777
883,34.94879023
884,36.93874298
885,43.38768001
886,38.27813426
887,25.61131962
888,9.30730698
889,1.075654211
890,0
891,0
892,0
893,2.836270375
894,13.59506647
895,25.99400284
896,33.60939895
897,44.19131478
898,123.3677105
899,226.3067043
900,237.1270723
901,223.3737107
902,190.5144885
903,159.5608827
904,151.2511899
905,169.9479987
906,185.7364151
907,102.6959829
908,103.4401651
909,115.3470802
910,105.7553986
911,78.71677889
912,49.38815293
913,29.13200526
914,21.09565761
915,15.77636083
916,15.77636083
917,13.8246764
918,10.48105109
919,8.473330902
920,11.14514315
921,22.77946378
922,75.10446542
923,168.0783179
924,221.114513
925,222.779185
926,218.9345853
927,215.4863362
928,212.2235609
929,215.0107156
930,215.6845114
931,134.3650696
932,147.7195705
933,186.2557709
934,176.4918818
935,143.9802087
936,107.7398844
937,76.01525149
938,59.46037532
939,42.26259134
940,29.28507855
941,16.12077573
942,8.34977889
943,6.125842682
944,11.79645532
945,68.72896295
946,220.8767027
947,246.1287686
948,244.6117029
949,223.3737107
950,181.0622129
951,156.1331344
952,156.8602326
953,173.375747
954,190.202875
955,110.9646739
956,137.5071722
957,166.6241216
958,163.9234715
959,132.6286445
960,98.7270112
961,71.46132115
962,55.7636554
963,42.20901569
964,33.6859356
965,26.22361278
966,14.20735962
967,6.218506691
968,3.963682481
969,47.72730775
970,226.3859744
971,245.3825363
972,241.5265627
973,206.3029048
974,142.6298836
975,118.8199304
976,101.2076185
977,83.34724587
978,67.12169342
979,32.88230083
980,57.31734928
981,85.1663579
982,114.7682718
983,126.5098131
984,120.5563555
985,107.9052583
986,81.94156839
987,56.99589537
988,35.17840016
989,19.8710713
990,8.813098933
991,4.226230505
992,2.496502344
993,0
994,39.7981114
995,143.8763376
996,209.5229108
997,215.4863362
998,198.9280524
999,189.579648
1000,193.2151386
1001,204.2254816
1002,205.4719355
1003,133.042079
1004,166.6241216
1005,184.5938323
1006,162.7808887
1007,124.6080141
1008,95.91565625
1009,73.60434719
1010,56.78159277
1011,40.17314095
1012,28.55798043
1013,14.70484781
1014,6.388390707
1015,4.118122495
1016,6.898042755
1017,4.48877853
1018,75.42591933
1019,178.4654339
1020,201.3170891
1021,202.1480584
1022,202.8751565
1023,209.6267819
1024,217.824804
1025,223.1359004
1026,223.611521
1027,154.2634536
1028,173.8951028
1029,195.9157888
1030,165.6892812
1031,125.9310047
1032,92.77355365
1033,67.55029863
1034,51.31687637
1035,36.55605976
1036,23.5065619
1037,10.6200471
1038,7.70113083
1039,5.955958667
1040,8.936650945
1041,4.643218544
1042,6.048622675
1043,85.24904481
1044,162.0537906
1045,198.2009543
1046,211.9119474
1047,218.4589648
