,DT
723,71.11033333
724,69.92433333
725,74.99616667
726,73.27716667
727,86.86033333
728,102.9885
729,124.2941
730,129.9093333
731,136.4486667
732,136.6062833
733,138.1368667
734,142.4875667
735,128.44675
736,132.2628333
737,120.6899
738,146.7706667
739,163.5373333
740,169.6911667
741,150.4208333
742,148.8641667
743,122.2066667
744,109.7605
745,87.51216667
746,78.87901667
747,84.50696667
748,83.72121667
749,79.43341667
750,89.42148333
751,94.1582
752,95.8932
753,127.9378333
754,138.0685
755,124.983
756,116.0829667
757,163.086
758,142.7195
759,106.4696667
760,147.7065
761,135.6908833
762,113.1252333
763,130.5091667
764,147.7908333
765,128.842
766,111.5216667
767,94.50733333
768,101.60325
769,78.82288333
770,84.6227
771,81.90936667
772,80.21258333
773,75.1328
774,77.93555
775,91.51936667
776,100.2281833
777,119.242
778,131.5458333
779,121.8393333
780,125.5227833
781,119.8106167
782,111.1401667
783,125.2325167
784,115.3199167
785,135.5731667
786,106.6321
787,91.47986667
788,98.528
789,94.82533333
790,91.79216667
791,87.15333333
792,73.9195
793,78.53
794,76.46458333
795,72.95616667
796,69.89591667
797,70.35616667
798,72.84166667
799,84.25058333
800,81.99891667
801,87.146
802,88.56093333
803,108.8105833
804,115.1826833
805,114.4319833
806,105.12625
807,95.56696667
808,87.22778333
809,81.6805
810,88.13058333
811,110.7814
812,115.1216667
813,114.3791667
814,110.4464167
815,98.77558333
816,94.0205
817,85.76583333
818,82.81483333
819,76.44883333
820,72.78066667
821,79.485
822,72.86066667
823,77.1395
824,85.68783333
825,102.9893833
826,114.4238333
827,107.4278333
828,98.9165
829,115.5346667
830,108.5146667
831,103.4041667
832,108.0926667
833,86.35266667
834,84.94083333
835,95.385
836,113.0666667
837,115.3816667
838,110.0133333
839,97.20683333
840,82.38066667
841,77.849
842,72.37933333
843,71.11033333
844,69.92433333
845,74.99616667
846,73.27716667
847,86.86033333
848,102.9885
849,124.2941
850,129.9093333
851,136.4486667
852,136.6062833
853,138.1368667
854,142.4875667
855,128.44675
856,132.2628333
857,120.6899
858,146.7706667
859,163.5373333
860,169.6911667
861,150.4208333
862,148.8641667
863,122.2066667
864,109.7605
865,80.24225
866,83.70478333
867,78.27233333
868,71.76158333
869,69.67
870,71.16175
871,83.49558333
872,94.77746667
873,111.99145
